"","1","2","3","4","5","6","7","8","9","10"
"190",6,7,6,6,1,4,4,4,3,4
"203",5,6,4,3,1,5,0,5,4,5
"303",5,5,5,2,1,0,5,5,3,1
"402",7,6,6,5,6,3,5,5,5,4
"412",3,5,3,3,3,4,4,3,0,5
"447",3,1,1,6,1,1,0,5,2,1
"460",7,7,5,3,1,5,4,5,4,4
"481",6,7,5,2,1,3,3,5,5,4
"488",6,6,3,4,7,5,5,5,5,5
"491",6,5,5,6,2,4,5,5,4,4
"498",5,5,5,5,5,4,4,4,4,4
"582",3,2,5,3,3,3,3,3,3,3
"590",7,7,5,7,4,5,5,5,5,5
"752",5,5,3,2,1,3,3,3,3,3
"861",7,7,6,7,6,5,5,5,5,5
"951",3,7,3,7,3,4,4,5,4,3
"956",6,6,6,3,2,5,5,5,3,5
"966",7,7,7,3,1,4,5,5,5,2
"1025",6,7,7,5,4,5,5,5,5,5
"1026",7,6,6,6,4,3,4,4,4,4
"1028",5,4,5,4,1,0,3,5,0,2
"1036",7,7,7,2,7,5,5,5,5,5
"1037",6,5,6,7,7,4,5,5,5,4
"1065",6,3,3,3,3,3,2,3,3,3
"1094",5,7,7,6,6,0,4,5,3,4
"1112",4,4,4,4,4,4,4,4,4,4
"1128",5,5,6,5,5,3,4,5,4,3
"1148",7,7,6,7,7,4,5,5,5,5
"1157",5,4,4,3,3,5,5,4,3,3
"1159",2,7,5,7,1,0,0,0,0,0
"1170",7,7,1,7,1,0,5,5,0,1
"1175",3,3,4,5,4,4,4,0,1,4
